tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,totpop19,mdfami19,mdrent19,state,county,tract,NHW19,colleg19,A20_34y19,NHW00_19,A20_34y00_19,College00_19,mdfami00_19,mdrent00_19,mdfami00_19_log,A20_34y00_19_log,NHW00_19_log,College00_19_log,mdrent00_19_log,pc1,pc2,pc1_log,pc2_log
36081140300,Bayside-Bayside Hills,2281,1563,1147.0,358,387.0,60125,1217,2344,80457,1904,36,081,140300,0.3651877133105802,0.2888225255972696,0.15017064846416384,-0.2737635797197615,-0.3443666939958434,0.7023363847218915,0.3381621621621622,0.5645028759244042,0.2987423035947332,-0.40701635165830574,-0.3062039886275436,0.5378587448215993,0.45393958812088425,-0.9356603514976246,0.07949013275084546,0.6964241258802443,-0.1703585821392293
36081140901,Bayside-Bayside Hills,1112,843,655.0,203,272.0,67168,968,990,85000,1370,36,081,140901,0.33636363636363636,0.32525252525252524,0.12525252525252525,-0.4289521165857044,-0.4798626660695626,0.3297088532382648,0.2654835636017152,0.415289256198347,0.24332537227735557,-0.6346191853784532,-0.5429221100110591,0.292452316652682,0.3543747799274372,-1.5296428232921284,0.2900344694082574,1.462243656256226,0.31050636632948814
36081140902,Auburndale,2779,1962,1235.0,438,698.0,65744,1138,2787,91042,1782,36,081,140902,0.27377108001435235,0.28919985647649804,0.15608180839612487,-0.3839596507207408,-0.3008390226639338,0.15141318216072785,0.3847955706984667,0.5659050966608083,0.33274786023248915,-0.34367272979273694,-0.4683404542415526,0.1496375241245038,0.45482977176770256,-0.9965504315305047,-0.1391070045158573,1.1189733653425142,-0.6216732943466308
36081141700,Auburndale,4780,3391,2474.0,819,1056.0,66674,887,4871,73182,2061,36,081,141700,0.3266269759802915,0.2551837405050298,0.1463765140628208,-0.36892605287558866,-0.3939404649731071,0.15509306781632803,0.09760926298107209,1.323562570462232,0.10220387539009285,-0.4844116723477821,-0.4446104665865988,0.152800970364525,0.847396100045344,-0.6696875651596284,-0.299248674484398,1.1655324622696654,-0.5901271921021279
36081142900,Auburndale,3657,2690,2375.0,720,901.0,71435,1083,3760,84750,1992,36,081,142900,0.4486702127659574,0.2351063829787234,0.16090425531914893,-0.30914232922732365,-0.3988438238770685,-0.04574468085106387,0.18639322460978502,0.8393351800554016,0.1793113846096639,-0.49240274507004167,-0.3554504499765896,-0.03639916555025305,0.6148262123719734,-1.1547320756002801,-0.11326110138258512,1.4826639641040213,-0.4129340166350764
36081143500,Bayside-Bayside Hills,2293,1607,1328.0,468,523.0,68352,914,2452,95472,2125,36,081,143500,0.3352365415986949,0.3560358890701468,0.18556280587275692,-0.4211616040016509,-0.3628217328258112,0.5609757048524793,0.3967696629213484,1.324945295404814,0.3412960567856177,-0.4351334935696088,-0.5296035030985667,0.4516968943878176,0.8479884627542618,-0.17242042494688642,-0.3509215759045625,0.5121552178273885,-0.6669468944048875
36081144100,Bayside-Bayside Hills,2753,2066,1557.0,515,844.0,71425,811,2662,108614,1829,36,081,144100,0.4229902329075883,0.4331329827197596,0.16303531179564237,-0.25209241413321093,-0.345959312291656,0.4128141012174149,0.5206720336016801,1.2552404438964242,0.4257068766158833,-0.40941185471384883,-0.27719381915396013,0.35263667193524545,0.8176809095464836,-0.1364087508103925,-0.40959582892968166,0.43565878670433367,-0.6777179588455198
36081144700,Bayside-Bayside Hills,2693,1821,586.0,551,508.0,44978,1025,3109,84659,1878,36,081,144700,0.16725635252492763,0.2341588935348987,0.2016725635252493,-0.2313628714170135,-0.3334923082042125,0.24131870135724842,0.8822313130863977,0.8321951219512196,0.6377567216590493,-0.39081146144955,-0.2502101586044568,0.2241979563196233,0.6109578616210488,-0.2401384154697858,-0.36705751698564776,0.49688527969786433,-0.631857789519807
36081145101,Auburndale,1436,1062,1002.0,262,323.0,70625,1000,1127,71111,1989,36,081,145101,0.5190771960958296,0.26974267968056787,0.13398402839396628,-0.25609296048541785,-0.45690443452522067,0.19922751709379405,0.006881415929203438,0.9890000000000001,0.01674050842837529,-0.5922244795967603,-0.2824862083434479,0.18998174010965552,0.6926470555182631,-1.2025068748326857,0.01635183559050353,1.4043062958137507,-0.0342588547728637
36081145102,Bayside-Bayside Hills,2739,1954,1084.0,614,533.0,60592,935,2464,93000,2088,36,081,145102,0.28165584415584416,0.2650162337662338,0.2564935064935065,-0.28832531628887725,-0.1837323913871145,0.3618751675154115,0.5348560866120939,1.233155080213904,0.43493075818729343,-0.19083657656025874,-0.32618081820683137,0.31617853938829754,0.8078833927886534,0.12358223227676925,-0.6606960695851934,0.27761615299217063,-1.2742699551264312
36081145900,Auburndale,2867,2067,1840.0,541,534.0,69875,863,2809,77868,1850,36,081,145900,0.5144179423282307,0.23638305446778213,0.15379138483446067,-0.19845856486139268,-0.41240888640881657,0.2691202568523059,0.11438998211091245,1.1436848203939745,0.11724065046849376,-0.5148485154361004,-0.20881983339433582,0.24617254229892438,0.7671802450910779,-0.8306469483918343,-0.14833212896353234,1.0473671354444212,-0.2841064753301031
36081146300,Bayside-Bayside Hills,3139,2356,1813.0,736,427.0,49399,969,2979,71899,1492,36,081,146300,0.47230614300100704,0.25914736488754614,0.14937898623699228,-0.18225649041359016,-0.5218248755783237,0.9050669282950992,0.4554748071823316,0.5397316821465428,0.38217929042557525,-0.7170810759845557,-0.18905194361673977,0.649752571523247,0.43808180765363236,-1.0851424780314716,0.3731052165039581,0.7441023177817772,0.7290161373793905
36081146700,Bayside-Bayside Hills,2690,2009,1810.0,780,757.0,58750,763,2619,88412,1780,36,081,146700,0.5547919053073692,0.3600610920198549,0.34898816342115313,-0.1754750136592137,-0.10113176882936337,0.2794773283136194,0.5048851063829787,1.3328964613368282,0.4153395987145625,-0.09555515552072523,-0.180892594637914,0.254236964419381,0.8513879679119329,0.31505005623844995,-0.8425588841782251,0.18425630979025548,-1.533936317019169
36081147100,Bayside-Bayside Hills,3079,2350,1892.0,573,944.0,70000,1028,3231,85741,1894,36,081,147100,0.4883936861652739,0.37418755803156917,0.14113277623026926,-0.20519864709150193,-0.4211832039421767,0.22046979997796767,0.2248714285714286,0.8424124513618676,0.2109668582405952,-0.5296401860609039,-0.21715979858874862,0.20739604766113423,0.6164888173476408,-1.0609904583817622,-0.025834882402109356,1.1367474703361882,-0.14018406784531035
